
15:40:21 | Pipe | clients  4 | logs      163,469 | watches      1,634 | flows        817 | payload    158.9 MiB
15:40:22 | Pipe | clients  4 | logs      164,219 | watches      1,642 | flows        821 | payload    159.6 MiB
15:40:23 | Pipe | clients  4 | logs      164,977 | watches      1,649 | flows        824 | payload    160.3 MiB
15:40:24 | Pipe | clients  4 | logs      165,724 | watches      1,657 | flows        828 | payload    161.0 MiB
15:40:25 | Pipe | clients  4 | logs      166,477 | watches      1,664 | flows        832 | payload    161.8 MiB
15:40:26 | Pipe | clients  4 | logs      167,224 | watches      1,672 | flows        836 | payload    162.5 MiB
15:40:27 | Pipe | clients  4 | logs      167,975 | watches      1,679 | flows        839 | payload    163.2 MiB
15:40:28 | Pipe | clients  4 | logs      168,721 | watches      1,687 | flows        843 | payload    164.0 MiB
15:40:29 | Pipe | clients  4 | logs      169,476 | watches      1,694 | flows        847 | payload    164.7 MiB
15:40:30 | Pipe | clients  4 | logs      170,220 | watches      1,702 | flows        851 | payload    165.4 MiB
15:40:31 | Pipe | clients  4 | logs      170,977 | watches      1,709 | flows        854 | payload    166.2 MiB
15:40:32 | Pipe | clients  4 | logs      171,733 | watches      1,717 | flows        858 | payload    166.9 MiB
15:40:33 | Pipe | clients  4 | logs      172,476 | watches      1,724 | flows        862 | payload    167.6 MiB
15:40:34 | Pipe | clients  4 | logs      173,220 | watches      1,732 | flows        866 | payload    168.3 MiB
15:40:35 | Pipe | clients  4 | logs      173,970 | watches      1,739 | flows        869 | payload    169.1 MiB
15:40:36 | Pipe | clients  4 | logs      174,726 | watches      1,747 | flows        873 | payload    169.8 MiB
15:40:37 | Pipe | clients  4 | logs      175,469 | watches      1,754 | flows        877 | payload    170.5 MiB
15:40:38 | Pipe | clients  4 | logs      176,226 | watches      1,762 | flows        881 | payload    171.3 MiB
15:40:39 | Pipe | clients  4 | logs      176,970 | watches      1,769 | flows        884 | payload    172.0 MiB
15:40:40 | Pipe | clients  4 | logs      177,723 | watches      1,777 | flows        888 | payload    172.7 MiB
15:40:41 | Pipe | clients  4 | logs      178,476 | watches      1,784 | flows        892 | payload    173.4 MiB
