
13:39:28 | Tcp  | clients  8 | logs    1,438,684 | watches     14,384 | flows      7,192 | payload   1398.1 MiB
13:39:29 | Tcp  | clients  8 | logs    1,446,849 | watches     14,464 | flows      7,232 | payload   1406.0 MiB
13:39:30 | Tcp  | clients  8 | logs    1,454,745 | watches     14,544 | flows      7,272 | payload   1413.7 MiB
13:39:31 | Tcp  | clients  8 | logs    1,462,757 | watches     14,624 | flows      7,312 | payload   1421.5 MiB
13:39:32 | Tcp  | clients  8 | logs    1,470,687 | watches     14,704 | flows      7,351 | payload   1429.2 MiB
13:39:33 | Tcp  | clients  8 | logs    1,478,626 | watches     14,783 | flows      7,391 | payload   1436.9 MiB
13:39:34 | Tcp  | clients  8 | logs    1,486,697 | watches     14,864 | flows      7,432 | payload   1444.8 MiB
13:39:35 | Tcp  | clients  8 | logs    1,494,824 | watches     14,944 | flows      7,472 | payload   1452.7 MiB
13:39:36 | Tcp  | clients  8 | logs    1,502,585 | watches     15,023 | flows      7,511 | payload   1460.2 MiB
13:39:37 | Tcp  | clients  8 | logs    1,510,774 | watches     15,104 | flows      7,552 | payload   1468.2 MiB
13:39:38 | Tcp  | clients  8 | logs    1,518,712 | watches     15,184 | flows      7,592 | payload   1475.9 MiB
13:39:39 | Tcp  | clients  8 | logs    1,526,686 | watches     15,264 | flows      7,632 | payload   1483.6 MiB
13:39:40 | Tcp  | clients  8 | logs    1,534,635 | watches     15,343 | flows      7,671 | payload   1491.3 MiB
13:39:41 | Tcp  | clients  8 | logs    1,542,767 | watches     15,424 | flows      7,712 | payload   1499.3 MiB
13:39:42 | Tcp  | clients  8 | logs    1,550,592 | watches     15,503 | flows      7,751 | payload   1506.9 MiB
13:39:43 | Tcp  | clients  8 | logs    1,558,903 | watches     15,584 | flows      7,792 | payload   1514.9 MiB
13:39:44 | Tcp  | clients  8 | logs    1,566,726 | watches     15,664 | flows      7,832 | payload   1522.5 MiB
13:39:45 | Tcp  | clients  8 | logs    1,574,891 | watches     15,744 | flows      7,872 | payload   1530.5 MiB
13:39:46 | Tcp  | clients  8 | logs    1,582,682 | watches     15,824 | flows      7,912 | payload   1538.0 MiB
13:39:47 | Tcp  | clients  8 | logs    1,590,684 | watches     15,904 | flows      7,951 | payload   1545.8 MiB
13:39:48 | Tcp  | clients  8 | logs    1,598,551 | watches     15,983 | flows      7,990 | payload   1553.5 MiB
13:39:49 | Tcp  | clients  8 | logs    1,606,792 | watches     16,064 | flows      8,032 | payload   1561.5 MiB
13:39:50 | Tcp  | clients  8 | logs    1,614,753 | watches     16,144 | flows      8,072 | payload   1569.2 MiB
13:39:51 | Tcp  | clients  8 | logs    1,622,757 | watches     16,224 | flows      8,112 | payload   1577.0 MiB
13:39:52 | Tcp  | clients  8 | logs    1,630,705 | watches     16,304 | flows      8,152 | payload   1584.7 MiB
13:39:53 | Tcp  | clients  8 | logs    1,638,579 | watches     16,383 | flows      8,191 | payload   1592.4 MiB
13:39:54 | Tcp  | clients  8 | logs    1,646,667 | watches     16,464 | flows      8,231 | payload   1600.2 MiB
13:39:55 | Tcp  | clients  8 | logs    1,654,861 | watches     16,544 | flows      8,272 | payload   1608.2 MiB
13:39:56 | Tcp  | clients  8 | logs    1,662,709 | watches     16,624 | flows      8,312 | payload   1615.8 MiB
13:39:57 | Tcp  | clients  8 | logs    1,670,874 | watches     16,704 | flows      8,352 | payload   1623.7 MiB
13:39:58 | Tcp  | clients  8 | logs    1,678,768 | watches     16,784 | flows      8,392 | payload   1631.4 MiB
13:39:59 | Tcp  | clients  8 | logs    1,686,761 | watches     16,864 | flows      8,432 | payload   1639.2 MiB
13:40:00 | Tcp  | clients  8 | logs    1,694,733 | watches     16,944 | flows      8,472 | payload   1646.9 MiB
13:40:01 | Tcp  | clients  8 | logs    1,702,817 | watches     17,024 | flows      8,512 | payload   1654.8 MiB
13:40:02 | Tcp  | clients  8 | logs    1,710,591 | watches     17,103 | flows      8,551 | payload   1662.3 MiB
13:40:03 | Tcp  | clients  8 | logs    1,718,814 | watches     17,184 | flows      8,592 | payload   1670.3 MiB
13:40:04 | Tcp  | clients  8 | logs    1,726,730 | watches     17,264 | flows      8,632 | payload   1678.0 MiB
13:40:05 | Tcp  | clients  8 | logs    1,734,788 | watches     17,344 | flows      8,672 | payload   1685.9 MiB
13:40:06 | Tcp  | clients  8 | logs    1,742,708 | watches     17,424 | flows      8,712 | payload   1693.6 MiB
13:40:07 | Tcp  | clients  8 | logs    1,750,678 | watches     17,503 | flows      8,751 | payload   1701.3 MiB
13:40:08 | Tcp  | clients  8 | logs    1,758,677 | watches     17,584 | flows      8,792 | payload   1709.1 MiB
13:40:09 | Tcp  | clients  8 | logs    1,766,269 | watches     17,658 | flows      8,826 | payload   1716.4 MiB
